,A,2,3,4,5,6,7,8,9,10,
5,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
6,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
7,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
8,HIT,HIT,HIT,HIT,DOUBLE,HIT,HIT,HIT,HIT,HIT,
9,HIT,DOUBLE,HIT,DOUBLE,HIT,DOUBLE,HIT,HIT,HIT,HIT,
10,HIT,DOUBLE,HIT,HIT,HIT,DOUBLE,DOUBLE,DOUBLE,HIT,DOUBLE,
11,HIT,HIT,HIT,HIT,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,
12,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,DOUBLE,SPLIT,SPLIT,SPLIT,SPLIT,
13,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
14,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
15,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
16,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
17,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
18,SPLIT,STAND,STAND,STAND,STAND,STAND,STAND,STAND,SPLIT,SPLIT,
19,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
20,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
21,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
A-2,HIT,HIT,DOUBLE,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
A-3,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
A-4,HIT,HIT,HIT,DOUBLE,HIT,HIT,HIT,HIT,HIT,HIT,
A-5,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
A-6,HIT,HIT,HIT,HIT,HIT,DOUBLE,HIT,HIT,HIT,HIT,
A-7,HIT,HIT,STAND,HIT,STAND,DOUBLE,STAND,HIT,HIT,HIT,
A-8,STAND,STAND,STAND,DOUBLE,DOUBLE,DOUBLE,STAND,STAND,DOUBLE,HIT,
A-9,STAND,STAND,DOUBLE,DOUBLE,DOUBLE,STAND,STAND,STAND,STAND,STAND,
A-10,STAND,STAND,STAND,STAND,STAND,DOUBLE,STAND,STAND,STAND,STAND,
2-2,SPLIT,SPLIT,SPLIT,HIT,SPLIT,SPLIT,HIT,HIT,HIT,SPLIT,
3-3,HIT,HIT,SPLIT,SPLIT,HIT,SPLIT,SPLIT,HIT,HIT,HIT,
4-4,HIT,HIT,HIT,HIT,SPLIT,HIT,HIT,SPLIT,SPLIT,SPLIT,
5-5,SPLIT,HIT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,DOUBLE,
6-6,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
7-7,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
8-8,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,DOUBLE,SPLIT,SPLIT,SPLIT,SPLIT,
9-9,SPLIT,STAND,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
10-10,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
A-A,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
